Date,Open,High,Low,Close,Volume,Adj Close
2015-09-08,42.5,42.5,41.85,42.3,1144800,42.0994
2015-09-09,42.26,42.75,41.64,41.76,1421500,41.562
2015-09-10,41.61,42.33,41.22,42.1,1444300,41.9004
2015-09-11,42.1,42.4,41.76,41.83,635500,41.6317
2015-09-14,41.77,42.2,41.51,41.79,1378100,41.5919
2015-09-15,41.75,42.7,41.65,42.05,1525500,41.8506
2015-09-16,42.05,42.05,42.05,42.05,0,41.8506
2015-09-17,42.6,43.0,41.79,42.29,2112800,42.0895
2015-09-18,42.01,42.67,41.85,42.53,3550900,42.3284
2015-09-21,42.47,42.87,42.15,42.58,610800,42.3781
2015-09-22,41.81,43.2,41.8,43.09,1217900,42.8857
2015-09-23,43.09,43.19,42.21,42.59,1418100,42.3881
2015-09-24,42.53,42.7,41.6,41.86,2102200,41.6615
2015-09-25,42.0,42.55,41.26,41.5,1260000,41.3032
2015-09-28,41.31,41.9,41.02,41.39,1473400,41.1938
2015-09-29,41.33,42.5,41.21,41.34,1360400,41.144
2015-09-30,41.5,42.89,41.5,42.81,4874100,42.607
2015-10-01,42.8,43.03,42.2,42.95,2975300,42.7464
2015-10-02,42.84,42.87,42.31,42.54,2027000,42.3383
2015-10-05,42.99,43.6,42.58,43.47,3647500,43.2639
2015-10-06,43.4,44.0,43.2,43.87,1686700,43.662
2015-10-07,43.8,44.25,43.28,43.98,3317700,43.7715
2015-10-08,43.91,44.5,42.91,43.6,2442800,43.3933
2015-10-09,43.57,44.4,43.12,44.25,1560100,44.0402
2015-10-12,44.18,45.0,44.07,44.79,1783900,44.5776
2015-10-13,44.25,44.83,44.03,44.34,1111500,44.1298
2015-10-14,44.27,44.63,43.84,44.1,734100,43.8909
2015-10-15,43.9,44.48,43.24,44.05,985400,43.8411
2015-10-16,44.2,45.0,43.98,44.88,1506300,44.6672
2015-10-19,44.81,45.15,44.43,45.05,1765500,44.8364
2015-10-20,45.15,45.68,44.44,45.22,1407300,45.0056
2015-10-21,45.75,46.09,44.7,45.86,1155700,45.6426
2015-10-22,45.05,47.86,45.05,47.55,3596400,47.3246
2015-10-23,47.5,47.8,46.82,47.34,1594800,47.1156
2015-10-26,46.86,47.83,46.75,47.7,1192000,47.4738
2015-10-27,47.63,48.0,46.8,46.92,1845700,46.6975
2015-10-28,46.94,47.17,46.0,46.68,1275100,46.4587
2015-10-29,45.93,46.93,45.58,46.61,2100100,46.388999999999996
2015-10-30,46.99,47.02,45.7,46.87,3530000,46.6478
2015-11-02,46.87,46.87,46.87,46.87,0,46.6478
2015-11-03,46.8,49.0,46.78,48.49,2530000,48.2601
2015-11-04,48.42,49.0,47.44,48.75,1490600,48.5189
2015-11-05,48.3,48.98,46.64,47.09,1978000,46.8667
2015-11-06,47.49,47.71,46.5,47.19,2111600,46.9663
2015-11-09,46.1,47.48,46.01,46.91,1205900,46.6876
2015-11-10,46.5,46.98,46.11,46.82,1747000,46.598
2015-11-11,46.96,48.67,46.3,48.14,1689400,47.9118
2015-11-12,47.98,47.98,46.63,47.15,1256200,46.9265
2015-11-13,47.02,47.22,46.74,46.9,1088100,46.6776
2015-11-16,46.9,46.9,46.9,46.9,0,46.6776
2015-11-17,47.13,48.84,46.76,46.87,2465000,46.6478
2015-11-18,46.94,47.75,46.94,47.18,1006100,46.9563
2015-11-19,47.99,48.5,47.19,48.48,1370500,48.2501
2015-11-20,48.33,49.26,48.32,49.04,1238100,48.8075
2015-11-23,48.96,48.97,48.04,48.51,1016300,48.28
2015-11-24,48.26,48.54,47.24,47.46,2053500,47.235
2015-11-25,47.7,47.95,46.55,46.89,2470400,46.6677
2015-11-26,46.98,47.73,46.89,47.1,684200,46.8767
2015-11-27,47.03,47.63,46.6,46.95,691500,46.7274
2015-11-30,46.9,47.44,45.3,45.88,6857500,45.6625
2015-12-01,46.91,47.79,46.38,47.59,2571900,47.3644
2015-12-02,47.79,48.0,46.87,47.25,985000,47.026
2015-12-03,46.57,47.07,45.9,46.59,1174300,46.3691
2015-12-04,46.59,47.5,46.21,46.36,993400,46.1402
2015-12-07,46.01,47.01,46.0,46.35,868600,46.1302
2015-12-08,46.01,46.36,45.5,45.74,1931400,45.5231
2015-12-09,45.68,46.08,44.9,45.21,1785900,44.9956
2015-12-10,45.89,45.89,45.0,45.07,1052400,44.8563
2015-12-11,44.97,45.75,43.65,45.34,1977100,45.125
2015-12-14,44.44,46.99,43.98,45.6,1727300,45.3838
2015-12-15,45.9,46.8,45.33,46.05,2142000,45.8317
2015-12-16,46.51,46.8,46.0,46.69,1600400,46.4686
2015-12-17,46.62,48.05,46.25,47.77,1428700,47.5435
2015-12-18,47.53,47.87,46.0,46.31,3407800,46.0904
2015-12-21,46.38,46.98,46.16,46.27,1122100,46.0506
2015-12-22,46.2,47.0,46.02,46.18,1061000,45.9611
2015-12-23,46.27,46.98,46.27,46.77,1114200,46.5483
2015-12-24,46.9,46.9,46.29,46.41,231100,46.19
2015-12-25,46.41,46.41,46.41,46.41,0,46.19
2015-12-28,46.34,47.31,45.97,46.4,1001700,46.18
2015-12-29,46.61,47.24,46.14,46.56,478400,46.3393
2015-12-30,46.79,46.79,45.5,45.55,1077600,45.333999999999996
2015-12-31,45.41,46.0,45.08,45.95,327000,45.7321
2016-01-01,45.95,45.95,45.95,45.95,0,45.7321
2016-01-04,45.05,45.82,44.71,45.02,1067700,44.8066
2016-01-05,44.99,46.13,44.8,45.77,2028900,45.553000000000004
2016-01-06,45.11,46.24,45.1,45.97,2032700,45.751999999999995
2016-01-07,45.52,46.39,44.99,46.18,2363500,45.9611
2016-01-08,46.4,46.85,45.26,46.56,2883200,46.3393
2016-01-11,46.56,47.6,45.62,47.32,2525900,47.0956
2016-01-12,47.2,47.97,46.77,47.29,1925100,47.0658
2016-01-13,46.74,47.96,46.65,47.46,3088900,47.235
2016-01-14,47.6,47.99,46.0,47.44,2032100,47.2151
2016-01-15,47.5,47.51,46.11,47.18,2952400,46.9563
2016-01-18,47.0,47.13,46.5,46.54,622800,46.3193
2016-01-19,46.97,47.25,46.0,46.73,2249700,46.5084
2016-01-20,46.01,47.11,45.86,46.65,1766700,46.4288
